country,Your age:,What is your education due to the dog's behavior?,Do you think that is shown in this video?,What makes a dog in this video?,What happens to the dog?,What makes a dog in this video?,What a dog feels on this video?,"Evaluate how its positive emotion on a scale of 1 to 5? (1-negative, 5 - positive)",Why did you put it this rating?,"Is there a difference between these two video and, if so, what is it?",Please write here any comments / opinion on animals interacting with tablet computers and their potential benefits / impact on the behavior of the dog:
Russia,49,dog Owner,Dog tries to catch a luminous object on the tablet,Scratching paws on the tablet,She is interested in moving pictures,,"Irritation, agitation, she does not like",2,"She often breathing hard, very excited scratches on the screen, she does not like","The difference in the emotions and behavior of dogs at the first relatively calm demeanor, it is interesting, and the second is nervous and wants to destroy the plate","do not even know what to write here, my dog ​​is totally indifferent to the tablet, but sometimes looks interested football or hockey (intensely moving pictures) and always barks when you hear the barking of the TV, but that's how it used to its benefits, I do not know."
Belarus,31,dog Owner,dog playing,He is trying to catch a bright spot on iPads,dog interested and keen,,"I do not know, she's trying to cope with the excitement",2,"maybe she feels fear, not sure","of course I have. the first video dog is calm and friendly playing the point on the iPads. the second video overexcited dog, that she does not like.","everything is good in moderation. no aypad no substitute for a real dog play with real people or relatives. rare, and if the dog is not overexcited, you can."
Russia,26,dog Owner,the dog's reaction to moving object,He tries to get the thing,He is playing like a cat with a fanatic and does not understand why he could not get,,"Mmm, voltage",1,"The dog no pleasure from the process, clearly nervous","Yes, in the first video dog playing, though not understood until the end. In the second dog is nervous",Helpful? Maybe if they would take the energy surplus
Russia,37,dog Owner,The dog sees and reacts to sound and picture on the plate,The dog sees and reacts to sound and picture on the plate,interested in what is happening,,passion,4,On the face it is interesting,In the first video it seems that the first proposed. In the second dog is constantly making,Against. Animals should be walking and contact the owner of the animals play toys
Russia,32,dog Owner,Dog playing electronic device,plays,Dog tries to get the ball out of play,,excitation,1,"I'm no expert, but I think the dog in the video is not really understand what does and what it does","the first video the dog more comfortable with what is going on, on the second - a dog too emotions going wild","Because I am not a fan of computer games, it seems to me that games such as shown in 2 movies, useless for the dog (well, except to take the time) ... I do not understand what the dog learns by playing these games? And what will be the reward for the dog at the end of this game? in reality the dog would get in your teeth / feet awaited a ball, and in a computer game that it will get?"
Russia,39,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",toy for cats and dogs,ball rolls,plays,,interest,5,the dog does it with udavolstviem,the second video over excited dog,intellectual games - useful
Russia,43,Owner + Workshops + reading various articles,"Dog tries to catch the plate ""Bunny"" (trace of a laser pointer or flashlight)","He tries to touch his paw to electronic ""bunny""",I think the confusion and disappointment of the incompleteness of action - can never catch a purpose,,Her hysterical in my opinion,1,I do not like,"In my opinion there is no difference, because and that in both cases the dog will never come to the result, and it seems to me, bad for pёsey psyche.","Use only the owner)) that does not have to get up off the couch and engage with a dog - give a tablet with a toy and she ""uhaydokaet"" dog without any walks and activities (("
Latvia,40,"And reading the literature, and the dog owner",The video shows a dog trying to catch on the tablet screen bright spot,dog playing,"dog passionate about a new game, a bit afraid",,overexcitement,2,"the dog is not angry, but clearly does not delight","in respect of a dog to an event. Different dog, entirely different reaction","My 3 year old Stafford yesterday flies on the glass door of the porch caught - one to one with your video, only costs and no flies can eat :)
 It seems to me that, like any toy, a game will not be interesting for a long time for a dog. Take the dog for 15 minutes, spending on this fun a lot of money - for me it is unacceptable. Other than entertainment, no other application I can not see. The effect on behavior? Even I can not understand how they can affect."
Russia,37,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Harassment over the dog.,Dog tries to play with the light point.,"He tries to get the item, can not do so, disappointed, leaves.",,I can not speak the language of science.,1,I can not speak the language of science.,The difference in a negative psychological state of the dogs.,"Definitely this mischief. The dog does not understand the purpose of the tablet. She needs to see, smell, feel (feel)."
Israel,52,dog Owner,hunting dog,He is trying to grasp a moving object,keen process,,passion,3,"I thought so. the dog is not suppressed and are not pleased, she keen","The first dog is less emotional and it seems more reasonable, intelligent","benefit is questionable, the dog can not come in contact with the subject, which sees on the screen"
Russia,37,The expert / professional,The point of the light beam,Trying to catch the point,She plays,,The desire to catch a toy,3,"Because the desire for more, but will not lead to a positive change of behavior in real life","There is. The toy can come across in life and in the life of it can be taken into the mouth, and a ray of efimeren, it can not catch","I do not think these games useful for dogs, and for the relationship with the person"
Russia,42,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",dog playing ball in the plate,plays,it moves,,inability to catch something that catches,1,the movement is too fast,"the first dog likes to play video, the second is not","suitable to someone who is not, depending on the dog's temperament. Uses not see: no particular movement, intelligence does not develop, even teeth are not cleaned, such as by using special balls :)"
Russia,46,dog Owner,playing with a dog on the development of,It focuses on the light beam .... that slides across the screen,Dog tries to catch a ray,,..radost excitement ....,5,I again would put 10 schitayu..chto dog is at a stage of excitation .... but after all she is really like .....))))),Second video - dog set on a game result in pervom..ona .... just watching luchёm ...,"this interaction which develops certain thought processes
 the dog learns to follow ..... look to differentiate learning by ear but still it is not the first dog's reaction to what is happening on the screen ...... probably before that these interactions have had a place to be .... and dogs reactions were backed"
Ukraine,52,dog Owner,dog playing,trying to catch the ball (item),I can not answer,,I can not answer,2,too much excitement dog,the first video of a dog more than positive emotions,"benefits did not see the effect is there, but if positive - the big question"
Ukraine,40,The expert / professional,dog's interest in the subject,"At first glance the dog action can be called a game, she catches (hunting), simulating the movement of digging / excavation, trying to grab his teeth","The behavior of the dog I see the interest, even drive, arousal.",,worry,1,the first thing I thought is running for the tail,"two video is a significant difference, in one video is dominated by positive emotions and excitement, the second completely opposite",Developing games for dogs with tablets diversify and add features in the dog training.
Ukraine,thirty,dog Owner,"Dog playing with a tablet, apparently, it must somehow move the ball on the screen","Dog tries to catch and play with the ball. the same behavior is observed when manipulating small real objects (for example, entrapment, but the remnants of a fly or beetle)","she is interested, but by the end of the video to lose interest in what can not understand its mission and purpose",,impatience can be. intently,4,it seems a little anxious,"I did not understand the task in the second video, because the difference for me in the presence of an obvious problem in the first. and a dog in the first video is more interpretive purpose.","I have little experience in this, but I think ravivayuschie games via the tablet can be useful for dogs and Science))"
Russia,44,"For a basic understanding of the behavior of dogs (online courses, reading of literature)","Dog ""hunts"" to ""bunny""",Implements genetically caused hunting behavior,"Trying to ""catch"", ""bunny"" like a mouse.",,Nervichaet,1,I do not think it is useful to be nervous,There is. The essence of the behavior is different.,I can not answer
Latvia,45,dog Owner,Playing dog,He is trying to understand what's going on,Rassterena,,Fear of anger,1,A dog under stress,"There on the ground a dog is interested, the second is clearly nervous","They are necessary, exactly as much as the owner is lazy"
Russia,55,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Game Host,destroys tablet,"I think the dog is confused. It is quite interesting, but she does not understand the meaning of what is happening.",,overexcitement,2,It is hardly possible without the excitement of his play can be considered as something very positive.,"Yes, there is a difference. The first game is more innocent.","Perhaps some other games would seem to me more interesting and useful for dogs. Or for the hosts)))) I've been wondering to what extent the concrete intelligence of dogs, some degree of abstraction is able to understand. My dog ​​clearly understands what the phone, namely, hearing a man's voice on the phone, understand who is now come. By their actions very clearly it shows."
Russia,41,"For a basic understanding of the behavior of dogs (online courses, reading of literature)","Dog tries to get moving point, the sound is not quite clear",He is trying to get a moving object,hunting dog,,"agitation, anxiety",1,stress is bad for dogs,"there is a difference .In the first case, the dog realizes its basic instincts, secondly, she worries, stress tests",no experience
Israel,55,dog Owner,A game,He is trying to get a spot,She is keen then departs.,,excitation,4,Dog whole movie was obviously interested in the game.,In the first video the dog is clearly tired of the game. The second - a dog to play more interesting.,"It seems to me that it is not necessary to give the dog to play with the tablet. It is better to move, run, for example, for the ball."
Russia,29,dog Owner,Yorkshire terrier hunting for a circle in a special supplement for cats,hunting,it is keen,,impatience,1,"dog breathes, tired","the first video dog playing on the second dig. The first dog is interested, the second agitated, then there is a difference between positive and negative mood of the animal","I think that it is harmful. The dog does not understand why can not catch or dig something out of the tablet, it is now fashionable to say, break the pattern))"
Russia,21,The expert / professional,Dog primitive thinking,He is trying to get something that does not see and does not feel,Violation of the natural instinct of smell,,aggression,1,Because mental disorders,The first dog is more relaxed behaves,"Uses no, I do not see pure entertainment for the hosts"
Israel,45,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",dog's desire to play with the subject on the screen ...,It reacts to the movement of the ball on the screen.,"the desire to catch the ball, which then disappears.",,Instituted. ..,4,For a dog is fun .protsess achieve the goal ... whatever the position of the tail and the ears indicates that she likes her keen ...,In the first video the dog interested in what is happening on the screen (moving balls) on the second ma no desire to move the tablet may wish to look at it ...,"In any case, requires the involvement of a professional for proper korektirovki dog's reaction to the action ... the most useful invention is a GPS logger dog metonahozhdeniya ... to find it when it is lost. And even catching stray dogs ..."
Russia,28,The expert / professional,"""Game"" for dogs on gadget","digging paws point that moves randomly and without any apparent purpose (such a game would make sense if the point had to drive the legs / nose in the ""gate"" and host of the award is given)","she is trying to understand why the object does not work as expected (do not pick out, does not move along the path paw strike)",,"apparently, it is under stress",1,"I do not see a single positive emotions, only excitement","there is a difference. in the first game of the dog's actions have no effect (as a result of frustration), in the second game of the dog actions cause visual and auditory stimulation on the part of the game (which leads to overstimulation). any useful purpose in both these games there","I would not mind developing games on the tablet to work together with the owner. for example, recognition of objects by name (poke his nose in the appropriate picture) or the passage of the maze (rolling ball nose / paw at the gate). the game should be an achievable goal specific, easily and quickly determined the dog. then this game will be useful, rather than a source of negative emotions alone."
Israel,54,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",What Dog playing,Playing,she was fun,,she was fun,5,"She plays herself, it does not make",The second dog plays a more realized she decides when to start the game,Maybe it will be good for them
Belarus,31,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog playing with tablet,"He is trying to catch a point on the tablet to play with it, look under the plate, thinking that she hid there","the dog is excited, wags his tail, interested",,complete confusion from the incomprehensibility of what is happening and the impossibility of normal play (dig a hole and catch),1,because I think that a dog is experiencing strong negative emotions and excitement,"The difference there. In the first video of a dog no negative emotions and sensations from the interaction with the tablet on the second video, they obviously have.","In my subjective opinion is no good for dogs. Learn something in the interaction with the tablet, then to apply it in a real dog's life can not, hence this conclusion. But bring the animal into a state of frustration, confusion tablet can be very even, as we saw in the second video clip - hence the conclusion that the behavior and well-being adversely affected (or not affected at best). Maybe I'm too narrowly until think, but it turned out :)"
Ukraine,50,Love to the animals,The owners came up activity for your dog.,Catches moving object.,I think it fun.,,Positive.,5,It is evident that the dog well.,Special difference is not seen.,Walk-best thing!
Russia,26,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog hunting for a running point on the screen,"He is trying to get a ""mouse""",Dog catches the point and does not understand why she can not take it,,She was obviously keen and even get tired of this game,4,"Anyway, she knows what makes, receives discharge and does not want to continue their own digging, not even looking away toys","The difference is, the first dog is confused, the second, the dog already knows what to do, the toy works great as a kapatelny simulator seems to dog does not even suspect that there is ""living kind of mouse you want to grab and eat,"" she just like dig and she throws great energy. In the first video, yorshik looks at the floor, around the plate and very perplexed, when he can not catch the point. the dog will only be disappointed by this game.","I think all of these games, as well as in laser pointer, for lazy owners who do not care about the psychological effects of such games for the pet. For dogs, it is important for both the getter, catch, grab teeth, pull, for her game - it is a way to relieve tension. I knew a German who was running in the street just behind the laser, when it was turned off, the dog approached the hostess and it was shaking as much as he asked again, turn it red spots. Yes, a dog running, running eyes, but that it only stiffens and does not produce steam. Such tension and frustration can lead to a nervous breakdown if you do not switch the dog. Better the good old ball or oven mitts."
Russia,45 years,dog Owner,Take the white point,He is trying to catch her,She was tired of trying,,He wants to catch it,3,Just excited,"First, the dog is much quieter than a poodle",I would not give play to give planshetom.Luchshe ball or toy for dogs
Russia,49,dog Owner,"fun owner and dog (ie, the tail plays host - having fun)",He is trying to catch the light,working dog,,hunting adrenaline,5,because emotions are going wild,in behavior,normally interact in the form of games and hunting / injury do not see (if only for a tablet))) / impact as a normal set of emotions when the game-hunting
Russia,20,dog Owner,A game,He tries to get the ball,crazy,,nervous,2,Because the dog psyche,there is,Dogs of different temperament.
Russia,17,"For a basic understanding of the behavior of dogs (online courses, reading of literature)","The video shows how a dog with zainterisovannostyu ""hunts"" for the subject, a pop-up screen on the tablet","perplexed, trying to seize the ""prey""",she is interested,,"Confusion, stress",2,The dog appears to be depressed by the fact that he could not catch prey,"There is. In the first video the dog reacts more calmly on the subject on the screen, she is interested, more restrained, it is clear that it does not disturb anything and drives the stress. The second video is a dog is tense, nervous, pervzhivaet that he could not get the booty",I do not believe that the Tablet PC can be beneficial for dogs. For individual representatives with tablet games can be harmful to the psyche
Russia,29,dog Owner,a game,catching item on the screen,"it fun, interesting",,fright,1,it is unpleasant subject,"there is. the first - the game, in the second - on the subject of fear","if the dog likes, then let him play."
Russia,41,dog Owner,Tablet and yorik,Tries paw knock over a point on the screen,Plant plays,,Drive and satisfaction,4,"She plays with the fact that they gave. Put next to the ball to play it. But just digs the monitor, not the bed, then this is something there",The game selected for dogs interests. First I like to catch the point. The second big digs. How would react to the first set of points-issue. The second is spending more energy and emotion.,Harm can not see. We go with the times. Dogs go on the subway and fly in airplanes. Let and so fun. Although as just would not be sitting on the couch in front of industry miserably
Russia,22,dog Owner,dog interaction with the tablet,keen on playing in the plate,the dog is busy playing,,Wild interest,4,She is shocked and concerned about the game,In the first video the dog is less active,"It helps to take a dog for a while, but I'd rather go out and play with the dogs in the street"
Russia,59,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",screen running game with a ball,"Dog tries to catch the ball, which sees on the screen","First, it is actively trying to get a toy, then, probably, the ball disappeared, and the dog lost interest in the game",,"Anger, irritation",1,The dog is nervous,"In the first video the dog is interested in the result, it plays and annoyed at the second dog",I think you can pick up / make games that will be of interest to dogs and will develop their intelligence
Russia,20 years,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",On the screen of the tablet moves the target and playing with her dog,Trying to catch the target,She looks concerned and taking more and more attempts.,,Excitation,3,"The dog does not experience negative emotions, but I think that from a normal game and host it kindly communicate emotions would be positive, so the average rating.",The difference is that the dog is the second video captured by a much stronger target on the tablet.,"I answered earlier, nothing good I do not see, even adults thinking people such games make sensitive and irritable when something fails (for example, beat the previous record, etc.), do not need to spoil the animal psyche."
Belarus,42,dog Owner,Dog playing with a dot on the screen,Playing,She is interested,,Inreteres,4,He realizes his instincts,"No, there is no difference, the two dogs are playing their game differs only in the dog's temperament","Computer distracts them from the man, this is bad"
Russia,34,dog Owner,dog playing a game on the tablet,catches some luminous point,she plays,,"obviously nervous, fixated, very excited",1,"breathing heavily, turning away","Yes there is. The first dog is interested in trying to understand what is happening, look at the owners: ""What the hell kind of garbage ?!"" and then calmly goes to the end. A second immediately pounced on the plate, still in the air when he was only a tray. And she obviously has some sort of obsession. She did not even watching this mouse, and just clobber paws.","In general, an interesting topic. Imagination already draws a dog that can handle herself, left alone at home. What a dispenser in a bowl for food and water, for example. Or panic button, if the house that something is happening: a pipe burst, climb thieves, and so on. )))) It is to perceive the game the same way as a substitute for full-fledged walking trough in small dogs, very negative."
Belarus,26,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",The dog thinks that beam real,Playing (hunting),Raised,,The joy of the hunt,4,She does not understand that he can not physically catch,"Yes, the second dog sees the result of the actions on the screen-foot",Difficult not know whether the dog understands that in fact it is a virtual object.
Russia,19,dog Owner,A game,Playing,Interest,,"She was fun, but it looks neestvestvenno",5,answer above,"In the second video, the dog seems a bit obsessive, somehow unnatural",Dogs upbringing as children in my opinion should prevail live display and play with the owner
Russia,22,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",the dog's reaction to the game on the tablet,It reacts to a nonexistent ball,The dog is interested in the game,,Failure to understand and can be excited,2,Undue excitement is not good for dogs,There is. In the first video the dog is just playing and does not understand what is happening. In the second video game is too similar to the dog gets. They have in common the fact that they both believe their eyes and nose should have been.,"Perhaps this is a good way to take the dog, but I do not think that it will last a long time if the dog does not get to the game, then it pretty soon get bored. In contrast to the standard game, where the dog for their actions can get a piece of food or a ball that fell from the toy (eg. Kong). It also does not drip as paws - nothing happens. So the benefits questionable."
UKRAINE,47r,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog playing with sunbeams,foot he is trying to get a moving circle,Iraheta dog and wants to get the circle,,stress,1,because that is what makes the dog to stop the negative and it is better than to have a dog in an even greater negative,the difference with respect to the tablet dogs,I do not know what these experiments
Russia,23,dog Owner,"In the video, Yorkshire terrier playing in the app on the tablet, imitating sunbeams.","Dog tries every possible way to catch a sunbeam, engages with the paws and tongue.",She is passionate about the game,,"The game closes minds, the dog is not paying attention to others.",4,"She likes, but the dog fixated on process.","Games are about the same, the difference lies in the speed of movement of the object on the screen, the reaction of dogs to these games (but it also depends on the type of temperament and excitability of each individual)","Emotions and the response to the first game of the dog I like the most, and it is not absorbed completely, time to interact with the host. I would like to make it a game to develop."
Russia,40,dog Owner,Dog and tablet computer on the floor,Dog tries to catch the moving object on the tablet screen.,Playing,,No answer.,2,Positive for the first 5 minutes.,But the difference,"With a dog should do, and play the man. Games should be such as to develop the dog's brain. And this is the game for kittens ..."
Russia,13,dog Owner,The game and the dog,Playing,She delighted,,Delight,5,She likes,2 great enthusiasm,Harmful to eyes
LC,16,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Game Dog with a tablet,Trying to get the point of a paw or grab teeth,Dog emotionally excited,,"She does not understand the inaccessibility of the object, frustration and irritation",3,According to the behavior seen,"The dog's reaction, in the first video, everything is OK, the second apparent excitement","It is not necessary, it is better to play with the animals in contact sports, nedesyagaemost point drives them crazy"
Russia,34,dog Owner,Dog tries to catch a moving point on the tablet screen,Playing,Dog excited,,The dog is interested,3,"I do not know features of age, the nature of the dog. Given the general idea of ​​a poodle dog excitable cheerful, we can assume that the dog is not angry, but rather playful and positive emotions",There is a difference that is shown on the screen: the number of stimuli and the horn,"If you develop observation, attention, the tablet as a means of appropriate"
Russia,18,"For a basic understanding of the behavior of dogs (online courses, reading of literature)","Dog exploring the new object, and how to interact with him, trying to play.","Affected paw, the nose of the moving point, trying to dig it, look under the plate bounces at sharp movements point","She is interested, but a little afraid for her sudden movement point. Excited, but not too much, and in the end she stops playing session, relaxed",,"Nervousness, stress, frustration",1,"The dog does not experience positive emotions, it is tense, nervous, do not control themselves.","There, the first dog quietly playing video, the second has a stress","First of all when meeting dogs with these games you need to keep an eye on the dog and its reaction condition, and not to allow such games if the dog behaves as a second video or shows other signs of stress, obsessed with the game. Otherwise, the development of this technology can help take dogs, for example, in the postoperative period, or when the host can not provide sufficient mental load."
Russia,14 years,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",This video shows a dog in the tablet game.,"Dog paw crawl across the screen, trying to play some kind of game.","The dog is excited by this ""fun"" and it is even more enthusiasm",,"Agitation, confusion and excitement",3,"The dog at the same time fun, but at the same time she does not understand what's going on","The first sees the dog is not with such passion plays in the game, and the second can be seen a dog aroused","I have a very negative attitude towards the use of tablets, etc. sobakami.Vo first dog is not a natural culture of behavior is not very well may affect the dog's behavior. For example she got used to play with technique, can snatch the phone from the host paw hand or left home alone begin to play with the tablet and hurt him or worse gadget connected to electricity, and the dog can hit current and seriously harm her ... dog lovers, just go outside and play with your pet!"
Ukraine,41,dog Owner,dog trying to understand what kind of crap,catches the ball on a plate,"excited, then loses interest",,I do not know,2,because emotions do not look too positive,I thought in the first video game is more positive and calm,the main thing that the dog liked
Russia,36 years,The expert / professional,A game,Dog catches a moving image on the screen,slight excitement,,Unmet need,1,"the inability to achieve the goal discourages leads to stress, overexcitement","There is. In the first video the dog with a balanced National Assembly, if it is impossible to reach the goal in different ways she quietly changing behavior and lose interest in this goal. In the second hyperexcitability dog ​​is not able to roll the program behavior, caused by the desire to catch the electronic production that pulls a congestion NS and comorbidities","I see no objective benefit in the use of such devices for animals. Traditional methods of the game is much better for the health of dogs and their owners, as well as for their relationship."
Republic of Belarus,23,dog Owner,play dog,Playing,She plays her fun,,huge interest,3,Because,In the first video the dog reacts more calmly,"This is pointless, and quickly get tired"
Russia,60,dog Owner,Dog plays with the light spot on the tablet. The ability to take a dog home is watching TV,Playing with light speck moving in the plate,capture,,"Excitation. Excitement. Frustration (figure appears, but still)",3,"It's interesting. But she is very excited. Like, dependent: again and again returns","A small, but there is: the second video of a dog is the result: the traces of its paws on the tablet screen","It is interesting to observe, when the dog is watching TV, the picture on your computer or tablet. I do not think that dogs have some benefit. This being real. Why do they need a virtual world? Maybe your research will show what is useful and harmful it is for dogs and other animals?"
Russia,32,The expert / professional,Dog plays with the moving object on the tablet screen,"plays, hunts for a moving point","the dog is excited, plays",,Overexcited dog may feel strong frustration.,2,It seems that what is happening to the dog - a negative stress.,"Yes, there is, first video leaves a positive impression, the second - negative.","Perhaps there will be some more interesting developments are useful for animals games in future computers. At the moment, I see no reason."
Israel,55,dog Owner,"The dog is looking for interested ball, he wants to play",Like a dog. plays,"studying, looking, wants to understand where there is a ball or even refused to be of help ....",,passion,5,...,"first dog learns and wants to understand how the ball appears on the screen and has paws. on the screen.
 In the second case, the dog knows what to do and realized beats paws to extract sounds.","If there is entertainment and educational programs for dogs, it is useful filmy-"
Russia,24,Child vet and handler,Interested dog,Trying to catch the point,She confused,,Interest,5,It seems to me like a dog,In the second video the dog hears and sees it as a success. At first this is not noticed.,My big dog will still never be able to play well with such small Tablet computers.
Russia,22,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",game on the tablet,Dog tries to catch a moving object,"she is interested, she does not understand what's going on",,excitation,2,"I do not see the interest, it is not very interesting, in my opinion","there is. the first video zaineterosovana dog, calm, playful. on the second - a dog more irritable, agitated, aggressive scratch screen",I do not consider that the animals need it :) it's better to play catch-up
RF,25,dog Owner,"The application for type ""runs a small animal""",Tried to touch a running point or just to make a point to move,new information,,interest,4,dog interested game,"is, at the first point moving video regardless of the movements of the dog, in the second mouse depending on where the dog pokes","There is no use in it do not see, the effect is worse than a child. dog animal instincts which are aimed at survival. dog training commands brings practical benefits to the owner, the same game in thimbles teaches a dog smell to determine ""where the food."" poking the plate nothing but familiarity does not teach. better play ball)"
Russia,20,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dogs playing on tablet computer,Trying to catch a moving object in the screen,It takes interest in,,He is puzzled,2,She is very happy that he could not get the thing out of the tablet,"There, in the first video the dog longer understands the task","Game on a Tablet PC can be useful for sedentary animals.
 But I think it would be better to walk the dog, its communication with other animals, playing at home and on the street with real balls, toys."
Russia,59,beginner,Curiosity,"Playing, catches a ray",she is interested,,"Do not know, it is necessary to clarify the dog",5,kickback,The difference in the dog activity,osobog sense do not see
Russia,28,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",dogs in response to movement of the plate,"He is trying to move the ball, when he stops, trying to take it in his mouth.",dog happy happening,,"probably udovoletvoreniya the process, this time she repeats",3,"video bit monotonous, emotions of joy I have not noticed. those. s This process is interesting, pleasant, but without emotion storm.","The difference is, in the first video the dog longer analyzes the movement on the tablet","No comment, because before this letter was not interested in this aspect of animal development. For me, as a dog owner with a lot of traveling, it is important that the skills that receives an animal helped him to quickly analyze and adapt themselves to the new situation when the new direction of animal training will be using tablets or computers to quickly adapt to the situation and take the right decision, the it will be great :) Good luck in the poll!"
Russia,33,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",The video shows the situation (and dog playing and trying to get a point of light on the tablet),"Dog tries various ways to solve the problem. Dog digs, puts his paw on top of the glowing element and looks at times on the host ischya him feedback.","Dog shows a clear interest, but ultimately leaves the undertaking.",,The excitation light and the state of affect)),4,"The dog, though not good but obviously like","In my opinion the first animal psyche either initially or calmer he quickly calms down, the game is clearly razzodorila first dog, but she easily got out of this state. The second dog is clearly not playing for the first time and experiencing in my opinion a certain dependence. Animal overexcited, that in my view any individual not good.",I think the effect is very questionable and poorly understood
Russia,'52,"For a basic understanding of the behavior of dogs (online courses, reading of literature)","Playing with the dog, ""sunbeam"", produced by the tablet.",enthusiastically playing,"Dog keen, excited, focused on the stimulus. However, the host responds to the call. Then again returned to the game with the tablet.",,Perhaps what that feeling compelled to make what she does. If anything at all feels.,1,"Not seen by the dog, so this action has brought her pleasure. Excitation and tired, yes.","The difference between the two videos is very important. The first live video, enthusiastically playing dog (and exhibit different patterns of movement and emotional), a dog that responds to the call of the host and does not look overexcited. In the second video picture looks like a sad dog forced to respond to a stimulus in the same way, intense excitement, the dog firmly included in stimulus-response cycle, it seems that it can not stop (until the fall of fatigue).","In truth, I am against the use of any computer technology in the interaction with the animals. Animals, even those who have been living next to a man, it is still close to nature. Computer 'stuff' too far and istoschayuschi for them. And how can computers replace the joy of playing and interacting with living loving man. Computer technologies can be claimed when you need to develop a rigid sequence of reactions in an animal to turn it into a sort of kiberga or for fun."
Israel,51,nursery,a game,He is trying to catch the light bulb,Dog tries to understand the rules of the game,,fatigue,1,chur great excitement,the first dog to be cautious interest in the second overexcited,I believe that any tablet games are harmful to dogs
Ukraine,28,"For a basic understanding of the behavior of dogs (online courses, reading of literature)","Dog scratching the plate, trying to understand what is happening.","Hunt the white spots. It seems like my dog ​​with beetles ""Game"": trying to turn over, to get moving, loosening around beetle ground beetle accurately capturing nerazdavlivaya but so that he could continue to be interesting to run along the ground; It ends with the beetle that either crush or eat, sometimes just leave alone. In the video, the behavior is similar, but in contrast to hunting beetles dog for a long time do not lose interest and much more dynamic tries to ""bug"" from scratch plate. The dog quickly learned pattern as scratching and where to flyspeck move.","The dog is very focused on the ""game"", excited, energetic. Actively trying to get white tochechku- catch, lick, eat, flatten, scratch. Quickly grasps what to flyspeck rolled out from the outside of the screen, you need to scrape the plate, not on the ground and on the side where it set, but still expects that the ball rolled out or jump out at her, not the sunset for the redistribution of visibility . Dots disappears dog quickly switched to something else",,Nervousness,1,"The behavior does not see any signs of positive emotions, but intense nervous excitement. If my dog ​​reacted well, I would have it for the second time this game would not be offered.","In my opinion, the difference in games is not large, there is a difference only in the individual dog response. From what I could see, in the first game a little more visible logical connection between the action and reaction of the dog moving object, a little more like real life. In addition, the second game is similar to a ball-squeaker (pridavil- beeps) that can be very exciting dog.","I think that dogs can be trained to interact with technology by means of a touch-screen. This requires training programs in which dogs will practice the basic steps necessary to interact with the screen that tyknut nose / paw, squeeze, grab. I think such games should be calm with the predictable result of equipment intended only for dogs intelligence, rather than the rate of the reaction. Perhaps you can play on the similarity of those that provide for small children 2 cards- guess the color, repeat the sound .. It is not clear whether the work will only be binding without the participation of the host (praise, a treat), whether the dog as much as I wonder what would have to repeat the game again and again, until it learns.
 These skills touch-screen can be used for tricks, but learning the tricks will need to master, as well as mental load the dog, for a change, to avoid boredom. In the future, it is possible to interact with the ""dog technique"" in smart homes. And yet the skills to work with touch-screen / touch pad can simply add variety to the life of the dog and the owner.
 Only important when the dog interacting with technology to monitor her emotional reaction. For example, our dog when accessing it via skype human friends, begins to run around the house to check the inputs, trying to find these people. Then, disappointed, sitting with round eyes, prominent proteins, panting, and then goes to his place and go to bed. But if someone from the owners is on the phone dog familiar and important ""wait at home"" ""I'll soon be"", ""it is necessary to wait a bit"" doggy door checks, but does not show signs of stress. Contact us is 100 percent not established, but perhaps clear voice instructions from telefona- Skype help the dog to cope with the confusing situation of human virtual presence."
Russia,23,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Hunting dog on a virtual bug (but the dog does not understand that this is just an image),Trying to catch the bug,"The dog sees a moving creature on the screen (a fly, beetle or something like that), he wants to catch him, because it perceives his real object",,The dog is nervous,2,"The dog is nervous, because she did not get to catch prey","There is only the difference that the dog is on the second video more nervous, the dog in the first video has more excitement and curiosity","I think in this way permissible to entertain dogs only for a limited time. Sometimes let his nephew to play with the dog a laser pointer, but not for long, the dog seems to me important to feel and understand the subject of hunting."
